username,product_id,text,date
marzieh,p102,It works well.,2026-06-19
marzieh,p101,Beautiful design. Highly recommended.,2026-06-20
ali,p104,The monitor quality is very good.,2026-06-20
sara,p105,The sound is clear and comfortable.,2026-06-20
maryam,p110,The webcam works well for online classes.,2026-06-21
zahra,p112,Useful flash drive with good speed.,2026-06-21
hossein,p114,The router has stable connection.,2026-06-21
mehdi,p119,Good power bank for daily use.,2026-06-22
fatemeh,p120,The phone case fits perfectly.,2026-06-22
leila,p123,The mouse pad is large and smooth.,2026-06-22
parsa,p130,Nice earbuds for the price.,2026-06-23
negin,p116,The desk lamp is bright and useful.,2026-06-23
niloofar,p108,Smartwatch is stylish and works well.,2026-06-23
marzieh,p121,Fast SSD and very useful.,2026-06-24
ali,p103,The keyboard feels comfortable.,2026-06-24
sara,p109,Printer quality is good.,2026-06-24
maryam,p113,External hard drive has enough space.,2026-06-25
zahra,p117,Backpack is strong and beautiful.,2026-06-25
hossein,p122,Microphone records clear sound.,2026-06-25
mehdi,p125,HDMI cable works without problems.,2026-06-26
fatemeh,p127,Calculator is accurate and easy to use.,2026-06-26
leila,p128,The desk is simple and useful.,2026-06-26
parsa,p111,Bluetooth speaker has good sound.,2026-06-27
negin,p115,Office chair is comfortable.,2026-06-27
niloofar,p118,Coffee maker works perfectly.,2026-06-27
marzieh,p124,Graphics card performance is very good.,2026-06-28
ali,p126,Scanner quality is acceptable.,2026-06-28
sara,p129,Air purifier is quiet and useful.,2026-06-28
maryam,p106,Smartphone is fast and beautiful.,2026-06-29
zahra,p107,Tablet screen quality is great.,2026-06-29
hossein,p102,Mouse is comfortable and responsive.,2026-06-29
mehdi,p101,Laptop performance is excellent.,2026-06-30
fatemeh,p103,Keyboard is good for typing.,2026-06-30
leila,p104,Monitor has clear picture quality.,2026-06-30
parsa,p105,Headphones are comfortable for long use.,2026-07-01
negin,p108,Smartwatch battery is good.,2026-07-01
niloofar,p110,Webcam image quality is clear.,2026-07-01
marzieh,p112,USB flash drive is small and fast.,2026-07-02
ali,p116,Desk lamp has a nice design.,2026-07-02
sara,p119,Power bank charges my phone well.,2026-07-02
maryam,p120,Phone case protects the phone well.,2026-07-03
zahra,p123,Mouse pad quality is good.,2026-07-03
hossein,p125,HDMI cable has good quality.,2026-07-03
mehdi,p127,Calculator works very well.,2026-07-04
fatemeh,p130,Earbuds are light and comfortable.,2026-07-04
leila,p109,Printer is useful for home work.,2026-07-04
parsa,p113,External HDD is useful for backup.,2026-07-05
negin,p121,SSD made my system faster.,2026-07-05
niloofar,p126,Scanner is easy to use.,2026-07-05
